"id","authorYear","arm","isAnthra","anthracyclineCumulDose","isCyclo","cyclophosphamideCumulDose","isTaxane","taxaneCumulDose","isFluoro","fluoroucilCumulDose","nITT","medianFU","malType","malN","rate","x"
1876,"Fisher (1997)",3,TRUE,240,TRUE,4800,FALSE,NA,FALSE,NA,771,69.3,"AML or MDS",3,6.73774992841141,4800
1884,"Mackey (2013)",1,TRUE,300,TRUE,3000,TRUE,450,FALSE,NA,745,124,"AML or MDS",6,7.79389478242044,3000
1884,"Mackey (2013)",2,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,746,124,"AML or MDS",2,2.59448240076105,3000
1939,"Linden (2007)",1,TRUE,324,TRUE,7200,FALSE,NA,FALSE,NA,1590,86.4,"AML or MDS",13,11.3556953179595,7200
1939,"Linden (2007)",2,TRUE,324,TRUE,7200,FALSE,NA,FALSE,NA,1524,86.4,"AML or MDS",15,13.6701662292213,7200
1997,"Bonneterre (2005)",1,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,271,110,"AML or MDS",1,4.02549480040255,3000
1997,"Bonneterre (2005)",2,TRUE,600,TRUE,3000,FALSE,NA,TRUE,3000,266,110,"AML or MDS",1,4.10116199589884,3000
2000,"Eiermann (2011)",1,TRUE,240,TRUE,2400,TRUE,400,FALSE,NA,1649,65,"AML or MDS",2,2.23911927974997,2400
2000,"Eiermann (2011)",2,TRUE,300,TRUE,3000,TRUE,450,FALSE,NA,1649,65,"AML or MDS",4,4.47823855949993,3000
2002,"Martin (2013)",1,TRUE,200,TRUE,2000,TRUE,800,TRUE,2000,951,63.3,"AML or MDS",1,1.99341177408664,2000
2002,"Martin (2013)",2,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,974,63.3,"AML or MDS",2,3.89267884426365,3000
2003,"Moore (2007)",1,TRUE,240,TRUE,900,TRUE,600,FALSE,NA,271,70,"AML or MDS",2,12.6515550869794,900
2003,"Moore (2007)",2,TRUE,320,TRUE,2400,FALSE,NA,FALSE,NA,265,70,"AML or MDS",3,19.4070080862534,2400
2008,"Roche (2006)",2,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,168,83,"AML or MDS",1,8.60585197934595,3000
2010,"Shulman (2014)",1,TRUE,240,TRUE,2400,FALSE,NA,FALSE,NA,1107,73.2,"AML or MDS",1,1.48088912583115,2400
2010,"Shulman (2014)",2,TRUE,360,TRUE,3600,FALSE,NA,FALSE,NA,766,73.2,"AML or MDS",5,10.7006805632838,3600
2011,"Swain (2013)",1,TRUE,300,TRUE,3000,TRUE,450,FALSE,NA,1617,64,"AML or MDS",5,5.79777365491651,3000
2011,"Swain (2013)",2,TRUE,240,TRUE,2400,TRUE,700,FALSE,NA,1624,64,"AML or MDS",8,9.23645320197044,2400
2011,"Swain (2013)",3,TRUE,240,TRUE,2400,TRUE,700,FALSE,NA,1618,64,"AML or MDS",11,12.7472187886279,2400
2049,"Nitz (2014",1,TRUE,360,TRUE,2400,TRUE,400,FALSE,NA,978,59,"AML or MDS",2,4.15930123739212,2400
2049,"Nitz (2014",2,TRUE,600,TRUE,3000,FALSE,NA,TRUE,3000,795,59,"AML or MDS",0,0,3000
926,"Misset (1996)",2,TRUE,360,TRUE,14400,FALSE,NA,TRUE,19200,137,190.8,"Non-Breast Solid",3,13.7722076848919,14400
970,"Bergh (2000)",1,TRUE,675,TRUE,8100,FALSE,NA,TRUE,5400,251,38.3,"Non-Breast Solid",3,37.4481187521455,8100
970,"Bergh (2000)",2,TRUE,180,TRUE,1200,FALSE,NA,FALSE,NA,274,38.3,"Non-Breast Solid",1,11.4348878428084,1200
970,"Bergh (2000)",2,TRUE,180,TRUE,1200,FALSE,NA,FALSE,NA,274,38.3,"Non-Breast Solid",1,11.4348878428084,1200
1035,"Bernard-Marty (2003)",2,TRUE,480,TRUE,4000,FALSE,NA,FALSE,NA,267,73,"Non-Breast Solid",3,18.4700631060489,4000
1035,"Bernard-Marty (2003)",3,TRUE,800,TRUE,6640,FALSE,NA,FALSE,NA,255,73,"Non-Breast Solid",6,38.6784850926672,6640
1040,"Citron (2003)",1,TRUE,240,TRUE,2400,TRUE,700,FALSE,NA,484,36,"Non-Breast Solid",4,27.5482093663912,2400
1040,"Citron (2003)",2,TRUE,240,TRUE,2400,TRUE,700,FALSE,NA,493,36,"Non-Breast Solid",10,67.6132521974307,2400
1040,"Citron (2003)",3,TRUE,240,TRUE,2400,TRUE,700,FALSE,NA,501,36,"Non-Breast Solid",2,13.3067198935462,2400
1040,"Citron (2003)",4,TRUE,240,TRUE,2400,TRUE,700,FALSE,NA,495,36,"Non-Breast Solid",10,67.3400673400673,2400
1141,"Venturini (2005)",1,TRUE,360,TRUE,3600,FALSE,NA,TRUE,3600,604,124.8,"Non-Breast Solid",17,27.06316861946,3600
1141,"Venturini (2005)",2,TRUE,360,TRUE,3600,FALSE,NA,TRUE,3600,610,124.8,"Non-Breast Solid",14,22.0680958385876,3600
1399,"Martin (2010)",1,TRUE,300,TRUE,3000,TRUE,450,FALSE,NA,539,77,"Non-Breast Solid",9,26.0222152615474,3000
1399,"Martin (2010)",2,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,521,77,"Non-Breast Solid",16,47.8600094722935,3000
1598,"Vici (2012)",1,TRUE,480,TRUE,2400,FALSE,NA,FALSE,NA,360,64,"Non-Breast Solid",4,20.8333333333333,2400
1598,"Vici (2012)",2,TRUE,480,TRUE,2400,TRUE,400,FALSE,NA,368,64,"Non-Breast Solid",4,20.3804347826087,2400
1847,"Fumoleu (2003)",1,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,210,131,"Non-Breast Solid",5,21.8102508178844,3000
1847,"Fumoleu (2003)",2,TRUE,150,TRUE,1500,FALSE,NA,TRUE,1500,197,131,"Non-Breast Solid",4,18.5996047583989,1500
1847,"Fumoleu (2003)",3,TRUE,225,TRUE,1500,FALSE,NA,TRUE,1500,195,131,"Non-Breast Solid",2,9.39518496770405,1500
1854,"Coombes (1996)",3,TRUE,400,TRUE,4800,FALSE,NA,TRUE,4800,180,58,"Non-Breast Solid",2,22.9885057471264,4800
1939,"Linden (2007)",1,TRUE,324,TRUE,7200,FALSE,NA,FALSE,NA,1590,86.4,"Non-Breast Solid",50,43.675751222921,7200
1939,"Linden (2007)",2,TRUE,324,TRUE,7200,FALSE,NA,FALSE,NA,1524,86.4,"Non-Breast Solid",51,46.4785651793526,7200
1997,"Bonneterre (2005)",1,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,271,110,"Non-Breast Solid",9,36.2294532036229,3000
1997,"Bonneterre (2005)",2,TRUE,600,TRUE,3000,FALSE,NA,TRUE,3000,266,110,"Non-Breast Solid",12,49.2139439507861,3000
2002,"Martin (2013)",1,TRUE,200,TRUE,2000,TRUE,800,TRUE,2000,951,63.3,"Non-Breast Solid",9,17.9407059667798,2000
2002,"Martin (2013)",2,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,974,63.3,"Non-Breast Solid",10,19.4633942213183,3000
2008,"Roche (2006)",2,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,168,83,"Non-Breast Solid",3,25.8175559380379,3000
2049,"Nitz (2014",1,TRUE,360,TRUE,2400,TRUE,400,FALSE,NA,978,59,"Non-Breast Solid",9,18.7168555682645,2400
2049,"Nitz (2014",2,TRUE,600,TRUE,3000,FALSE,NA,TRUE,3000,795,59,"Non-Breast Solid",4,10.2334505916214,3000
